time,differenced_passengers
1949.16666667,0.05993154495013453
1949.25,-0.1351068163454041
1949.33333333,-0.04103234054023197
1949.41666667,0.1735060916066189
1949.5,-0.01754673751600322
1949.58333333,-0.09193749532568507
1949.66666667,-0.08455738802806234
1949.75,-0.048974004596460396
1949.83333333,-0.001201201345634395
1949.91666667,0.26102631929444975
1950,-0.15204622142670754
1950.08333333,0.11710227469064272
1950.16666667,0.021128204838462672
1950.25,-0.15596309536642927
1950.33333333,-0.03347592919638931
1950.41666667,0.2525936097792858
1950.5,-0.04378043753835481
1950.58333333,-0.13185213110480287
1950.66666667,-0.07320340402329517
1950.75,-0.09904250078191801
1950.83333333,0.018095224977955127
1950.91666667,0.35959465404206625
1951,-0.17035265440353786
1951.08333333,-0.00118976813558902
1951.16666667,0.1372467045201482
1951.25,-0.2591816056811522
1951.33333333,0.14177762549201312
1951.41666667,-0.019455202528058102
1951.5,0.07723220095377492
1951.58333333,-0.11152127443240722
1951.66666667,-0.0783690671155064
1951.75,-0.04897035526109583
1951.83333333,0.02334970885255494
1951.91666667,0.2323708801722546
1952,-0.0987053985020907
1952.08333333,0.021617526241433538
1952.16666667,0.018440043627125036
1952.25,-0.1339264956537347
1952.33333333,0.07518227921465481
1952.41666667,0.1640197883720722
1952.5,-0.12142466381356076
1952.58333333,-0.002725828900615568
1952.66666667,-0.19746189142536696
1952.75,0.05654265027369476
1952.83333333,-0.01471812731499611
1952.91666667,0.22514263348305263
1953,-0.110107182082686
1953.08333333,-0.010256500167189486
1953.16666667,0.1857171457950928
1953.25,-0.18996343667654436
1953.33333333,-0.021617219708467417
1953.41666667,0.08520295037622727
1953.5,0.023548220019459443
1953.58333333,-0.053034696656085956
1953.66666667,-0.16759488831054803
1953.75,0.021539917501801398
1953.83333333,-0.042699274926791375
1953.91666667,0.26924933975472154
1954,-0.09553297138372496
1954.08333333,-0.0964931167994072
1954.16666667,0.30482158232847656
1954.25,-0.2577790479769657
1954.33333333,0.06500659453905477
1954.41666667,0.09025688991231551
1954.5,0.01384992643993943
1954.58333333,-0.16473232258635573
1954.66666667,-0.09309013895972829
1954.75,0.000238489172232903
1954.83333333,0.0025900336328446016
1954.91666667,0.2410320490249056
1955,-0.06530030191000602
1955.08333333,-0.09311499519343336
1955.16666667,0.17410947742553606
1955.25,-0.12874748363296007
1955.33333333,-0.003752141805053455
1955.41666667,0.1504401004307221
1955.5,-0.009569451016150587
1955.58333333,-0.19241031650098872
1955.66666667,-0.05849250444749554
1955.75,-0.023553489284035223
1955.83333333,-0.015192883831526949
1955.91666667,0.30462893780844436
1956,-0.13820784808493602
1956.08333333,-0.04630985644443708
1956.16666667,0.1598409996638095
1956.25,-0.14758285102706914
1956.33333333,0.02854677557715135
1956.41666667,0.14635622239433133
1956.5,-0.06301261908785438
1956.58333333,-0.11875232140099534
1956.66666667,-0.11220875177662837
1956.75,-0.016763409891912495
1956.83333333,0.02706640645035563
1956.91666667,0.2429325621453593
1957,-0.09247874419942725
1957.08333333,-0.07444991095001008
1957.16666667,0.21328284017991272
1957.25,-0.19054871718071098
1957.33333333,0.0426435607784974
1957.41666667,0.15297221485965462
1957.5,-0.07585543300925224
1957.58333333,-0.09274023946980225
1957.66666667,-0.1492062317892886
1957.75,-0.0071757183065441765
1957.83333333,0.023077094674843757
1957.91666667,0.22581238669523973
1958,-0.084964925708789
1958.08333333,-0.07872869247703385
1958.16666667,0.1964870638756242
1958.25,-0.16903456109688975
1958.33333333,0.08164208654167204
1958.41666667,0.1387428423334578
1958.5,-0.059845100117997596
1958.58333333,-0.09298379522499634
1958.66666667,-0.25125785279504953
1958.75,0.10505106184133783
1958.83333333,-0.02865760153621455
1958.91666667,0.23026072388225582
1959,-0.017489531775375156
1959.08333333,-0.11731439548534528
1959.16666667,0.2228357169266788
1959.25,-0.19648137088637974
1959.33333333,0.08377944837018525
1959.41666667,0.057883774285207856
1959.5,0.03257202705431972
1959.58333333,-0.1294221151553776
1959.66666667,-0.2082966052759483
1959.75,0.059508550425225515
1959.83333333,0.011744895026815527
1959.91666667,0.22941182889759215
1960,-0.08304370058850541
1960.08333333,-0.09357781650569841
1960.16666667,0.13354202175020724
1960.25,0.026363763137739582
1960.33333333,-0.07194618048560475
1960.41666667,0.10170681872154486
1960.5,0.025385584532721772
1960.58333333,-0.17673345251303818
1960.66666667,-0.15033843182096707
1960.75,0.0793151339089988
1960.83333333,-0.07016789929112299
1960.91666667,0.2695301529933749
